trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,participant,
305,training(29).mov,True,right,1,vcgpdm_dyn(15)-lvm(35)_final(0).mov,0,145,145,100,,,,,,,,12:08:11:063,12:08:11:777,12:08:14:779,right,12:08:15:180,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
306,training(8).mov,True,right,1,vcgpdm_dyn(25)-lvm(35)_final(4).mov,0,146,146,95,,,,,,,,12:08:15:946,12:08:16:681,12:08:19:683,right,12:08:20:234,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
307,vgpdm_dyn(5)-lvm(15)_final(7).mov,True,left,1,training(25).mov,0,147,147,26,,,,,,,,12:08:21:002,12:08:21:735,12:08:24:737,left,12:08:25:305,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
308,training(14).mov,True,right,1,vgpdm_dyn(25)-lvm(35)_final(7).mov,0,148,148,118,,,,,,,,12:08:26:066,12:08:26:806,12:08:29:809,right,12:08:30:276,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
309,training(19).mov,True,right,1,vgpdm_dyn(20)-lvm(5)_final(6).mov,0,149,149,116,,,,,,,,12:08:31:225,12:08:31:778,12:08:34:780,left,12:08:35:714,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
310,training(32).mov,False,right,1,vgpdm_dyn(5)-lvm(10)_final(1).mov,0,150,150,58,,,,,,,,12:08:36:467,12:08:37:215,12:08:40:216,right,12:08:40:900,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
311,tmp_numprim(6)_final(0).mov,False,left,1,training(26).mov,0,151,151,68,,,,,,,,12:08:41:671,12:08:42:401,12:08:45:403,right,12:08:45:754,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
312,vgpdm_dyn(15)-lvm(30)_final(2).mov,True,left,1,training(12).mov,0,152,152,22,,,,,,,,12:08:46:517,12:08:47:256,12:08:50:258,left,12:08:50:559,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
313,training(26).mov,False,right,1,vcgpdm_dyn(35)-lvm(20)_final(8).mov,0,153,153,16,,,,,,,,12:08:51:321,12:08:52:060,12:08:55:064,left,12:08:55:481,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
314,vcgpdm_dyn(5)-lvm(25)_final(2).mov,True,left,1,training(35).mov,0,154,154,98,,,,,,,,12:08:56:232,12:08:56:982,12:09:00:001,left,12:09:00:469,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
315,vcgpdm_dyn(30)-lvm(10)_final(2).mov,False,left,1,training(48).mov,0,155,155,41,,,,,,,,12:09:01:220,12:09:01:986,12:09:04:973,left,12:09:05:524,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
316,training(16).mov,True,right,1,vcgpdm_dyn(5)-lvm(20)_final(4).mov,0,156,156,88,,,,,,,,12:09:06:282,12:09:07:025,12:09:10:027,left,12:09:10:628,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
317,training(15).mov,False,right,1,dmp_npsi(25)_final(6).mov,0,157,157,82,,,,,,,,12:09:11:379,12:09:12:145,12:09:15:131,right,12:09:15:648,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
318,training(23).mov,True,right,1,vgpdm_dyn(25)-lvm(25)_final(1)_bad.mov,0,158,158,27,,,,,,,,12:09:16:405,12:09:17:166,12:09:20:169,right,12:09:20:636,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
319,training(24).mov,False,right,2,tmp_numprim(6)_final(7).mov,0,0,0,158,,,,,,,,12:11:09:440,12:11:10:179,12:11:13:165,right,12:11:13:982,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
320,training(10).mov,False,right,2,vgpdm_dyn(10)-lvm(35)_final(4).mov,0,1,1,90,,,,,,,,12:11:14:728,12:11:15:500,12:11:18:486,right,12:11:18:853,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
321,vgpdm_dyn(35)-lvm(10)_final(1).mov,False,left,2,training(29).mov,0,2,2,36,,,,,,,,12:11:19:618,12:11:20:356,12:11:23:341,left,12:11:23:725,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
322,training(4).mov,False,right,2,vgpdm_dyn(10)-lvm(15)_final(7).mov,0,3,3,54,,,,,,,,12:11:24:481,12:11:25:228,12:11:28:230,right,12:11:28:697,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
323,vcgpdm_dyn(25)-lvm(25)_final(3).mov,True,left,2,training(30).mov,0,4,4,63,,,,,,,,12:11:29:456,12:11:30:198,12:11:33:201,right,12:11:33:885,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
324,dmp_npsi(40)_final(0).mov,False,left,2,training(0).mov,0,5,5,6,,,,,,,,12:11:34:618,12:11:35:386,12:11:38:389,right,12:11:39:189,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
325,training(39).mov,False,right,2,dmp_npsi(25)_final(0).mov,0,6,6,76,,,,,,,,12:11:39:943,12:11:40:690,12:11:43:710,right,12:11:44:127,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
326,training(34).mov,True,right,2,dmp_npsi(10)_final(7)_bad.mov,0,7,7,144,,,,,,,,12:11:44:892,12:11:45:628,12:11:48:631,right,12:11:49:181,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
327,vcgpdm_dyn(25)-lvm(5)_final(0).mov,True,left,2,training(5).mov,0,8,8,91,,,,,,,,12:11:49:936,12:11:50:682,12:11:53:701,right,12:11:54:085,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
328,training(14).mov,True,right,2,vcgpdm_dyn(35)-lvm(20)_final(6).mov,0,9,9,136,,,,,,,,12:11:54:841,12:11:55:586,12:11:58:589,right,12:11:59:038,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
329,tmp_numprim(8)_final(6).mov,True,left,2,training(3).mov,0,10,10,65,,,,,,,,12:11:59:804,12:12:00:556,12:12:03:542,left,12:12:03:942,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
330,training(2).mov,False,right,2,vcgpdm_dyn(30)-lvm(20)_final(4).mov,0,11,11,52,,,,,,,,12:12:04:697,12:12:05:444,12:12:08:446,right,12:12:08:763,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
331,dmp_npsi(30)_final(7).mov,False,left,2,training(27).mov,0,12,12,115,,,,,,,,12:12:09:514,12:12:10:266,12:12:13:251,right,12:12:13:802,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
332,training(5).mov,False,right,2,tmp_numprim(6)_final(0).mov,0,13,13,94,,,,,,,,12:12:14:559,12:12:15:320,12:12:18:323,right,12:12:18:674,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
333,vcgpdm_dyn(15)-lvm(25)_final(8).mov,False,left,2,training(25).mov,0,14,14,133,,,,,,,,12:12:19:427,12:12:20:192,12:12:23:177,left,12:12:23:694,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
334,training(26).mov,True,right,2,vcgpdm_dyn(30)-lvm(20)_final(7).mov,0,15,15,116,,,,,,,,12:12:24:448,12:12:25:196,12:12:28:198,left,12:12:28:682,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
335,dmp_npsi(30)_final(3).mov,True,left,2,training(30).mov,0,16,16,153,,,,,,,,12:12:29:460,12:12:30:183,12:12:33:185,left,12:12:33:636,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
336,tmp_numprim(5)_final(0).mov,False,left,2,training(5).mov,0,17,17,87,,,,,,,,12:12:34:391,12:12:35:138,12:12:38:140,left,12:12:38:524,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
337,vgpdm_dyn(20)-lvm(35)_final(5).mov,False,left,2,training(31).mov,0,18,18,44,,,,,,,,12:12:39:469,12:12:40:025,12:12:43:028,left,12:12:43:395,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
338,vcgpdm_dyn(35)-lvm(5)_final(5).mov,False,left,2,training(0).mov,0,19,19,156,,,,,,,,12:12:44:160,12:12:44:896,12:12:47:898,left,12:12:48:365,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
339,tmp_numprim(2)_final(9).mov,False,left,2,training(18).mov,0,20,20,80,,,,,,,,12:12:49:136,12:12:49:881,12:12:52:885,left,12:12:53:385,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
340,training(20).mov,False,right,2,vgpdm_dyn(35)-lvm(15)_final(0)_out_of_screen.mov,0,21,21,135,,,,,,,,12:12:54:142,12:12:54:903,12:12:57:889,right,12:12:58:306,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
341,training(39).mov,False,right,2,dmp_npsi(35)_final(8).mov,0,22,22,9,,,,,,,,12:12:59:066,12:12:59:807,12:13:02:794,right,12:13:03:212,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
342,training(24).mov,False,right,2,vcgpdm_dyn(30)-lvm(5)_final(3).mov,0,23,23,98,,,,,,,,12:13:03:974,12:13:04:713,12:13:07:715,right,12:13:08:166,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
343,training(11).mov,True,right,2,vgpdm_dyn(30)-lvm(10)_final(6).mov,0,24,24,142,,,,,,,,12:13:08:944,12:13:09:684,12:13:12:670,left,12:13:13:104,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
344,training(6).mov,False,right,2,vcgpdm_dyn(35)-lvm(10)_final(8).mov,0,25,25,55,,,,,,,,12:13:13:864,12:13:14:622,12:13:17:608,right,12:13:17:991,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
345,vgpdm_dyn(30)-lvm(5)_final(1).mov,False,left,2,training(24).mov,0,26,26,14,,,,,,,,12:13:18:740,12:13:19:492,12:13:22:495,left,12:13:22:979,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
346,training(2).mov,False,right,2,vcgpdm_dyn(30)-lvm(20)_final(6).mov,0,27,27,122,,,,,,,,12:13:23:733,12:13:24:480,12:13:27:484,right,12:13:27:950,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
347,vcgpdm_dyn(5)-lvm(25)_final(2).mov,False,left,2,training(26).mov,0,28,28,106,,,,,,,,12:13:28:696,12:13:29:451,12:13:32:454,left,12:13:32:921,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
