trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
307,map_cgpdm_final(9).webm,False,left,1,training(15).webm,0,147,147,24,,,,,,,,10:54:39:594,10:54:40:353,10:54:43:356,left,10:54:43:606,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
308,training(16).webm,True,right,1,tmp_numprim(7)_final(4).webm,0,148,148,14,,,,,,,,10:54:44:439,10:54:45:107,10:54:48:109,left,10:54:48:643,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
309,training(40).webm,False,right,1,vcgpdm_dyn(30)-lvm(25)_final(1).webm,0,149,149,50,,,,,,,,10:54:49:479,10:54:50:145,10:54:53:148,right,10:54:53:398,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
310,training(14).webm,False,right,1,vgpdm_dyn(10)-lvm(15)_final(8).webm,0,150,150,99,,,,,,,,10:54:54:080,10:54:54:899,10:54:57:902,right,10:54:58:335,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
311,training(15).webm,True,right,1,vgpdm_dyn(30)-lvm(35)_final(8).webm,0,151,151,16,,,,,,,,10:54:59:017,10:54:59:836,10:55:02:839,left,10:55:03:189,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
312,vcgpdm_dyn(20)-lvm(20)_final(9).webm,False,left,1,training(8).webm,0,152,152,68,,,,,,,,10:55:03:875,10:55:04:705,10:55:07:692,right,10:55:08:009,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
313,vcgpdm_dyn(30)-lvm(5)_final(4).webm,True,left,1,training(28).webm,0,153,153,35,,,,,,,,10:55:08:686,10:55:09:510,10:55:12:513,left,10:55:12:796,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
314,vgpdm_dyn(20)-lvm(25)_final(2).webm,False,left,1,training(41).webm,0,154,154,54,,,,,,,,10:55:13:479,10:55:14:297,10:55:17:285,right,10:55:23:990,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
315,vgpdm_dyn(25)-lvm(35)_final(4).webm,False,left,1,training(11).webm,0,155,155,25,,,,,,,,10:55:24:761,10:55:25:492,10:55:28:495,left,10:55:29:562,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
316,vcgpdm_dyn(35)-lvm(25)_final(6).webm,True,left,1,training(15).webm,0,156,156,74,,,,,,,,10:55:30:350,10:55:31:064,10:55:34:066,left,10:55:34:266,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
317,tmp_numprim(8)_final(7).webm,False,left,1,training(38).webm,0,157,157,49,,,,,,,,10:55:35:115,10:55:35:767,10:55:38:770,right,10:55:39:387,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
318,vcgpdm_dyn(15)-lvm(10)_final(1).webm,False,left,1,training(24).webm,0,158,158,110,,,,,,,,10:55:40:069,10:55:40:888,10:55:43:892,right,10:55:44:409,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
319,vcgpdm_dyn(10)-lvm(20)_final(1).webm,False,left,2,training(7).webm,0,0,0,74,,,,,,,,10:57:55:366,10:57:56:172,10:57:59:158,left,10:57:59:458,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
320,training(29).webm,True,right,2,dmp_npsi(35)_final(4).webm,0,1,1,92,,,,,,,,10:58:00:140,10:58:00:959,10:58:03:963,left,10:58:04:613,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
321,vcgpdm_dyn(25)-lvm(25)_final(4).webm,True,left,2,training(4).webm,0,2,2,95,,,,,,,,10:58:05:295,10:58:06:114,10:58:09:117,left,10:58:09:384,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
322,training(41).webm,False,right,2,vcgpdm_dyn(35)-lvm(25)_final(7).webm,0,3,3,47,,,,,,,,10:58:10:063,10:58:10:885,10:58:13:887,right,10:58:15:906,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
323,vgpdm_dyn(30)-lvm(5)_final(8).webm,True,left,2,training(41).webm,0,4,4,39,,,,,,,,10:58:16:585,10:58:17:407,10:58:20:410,left,10:58:20:711,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
324,training(40).webm,False,right,2,vcgpdm_dyn(10)-lvm(30)_final(0).webm,0,5,5,79,,,,,,,,10:58:21:398,10:58:22:212,10:58:25:212,right,10:58:25:346,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
325,dmp_npsi(50)_final(0).webm,False,left,2,training(13).webm,0,6,6,134,,,,,,,,10:58:26:029,10:58:26:847,10:58:29:850,right,10:58:29:933,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
326,vcgpdm_dyn(10)-lvm(5)_final(0).webm,False,left,2,training(13).webm,0,7,7,155,,,,,,,,10:58:30:615,10:58:31:434,10:58:34:437,left,10:58:34:670,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
327,training(13).webm,False,right,2,vgpdm_dyn(35)-lvm(30)_final(1).webm,0,8,8,112,,,,,,,,10:58:35:497,10:58:36:171,10:58:39:160,left,10:58:39:393,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
328,training(11).webm,True,right,2,vcgpdm_dyn(5)-lvm(15)_final(6).webm,0,9,9,3,,,,,,,,10:58:40:240,10:58:40:894,10:58:43:897,right,10:58:44:297,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
329,vcgpdm_dyn(30)-lvm(35)_final(1).webm,False,left,2,training(6).webm,0,10,10,35,,,,,,,,10:58:44:976,10:58:45:798,10:58:48:801,left,10:58:49:168,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
330,vcgpdm_dyn(10)-lvm(5)_final(2).webm,False,left,2,training(37).webm,0,11,11,143,,,,,,,,10:58:49:914,10:58:50:669,10:58:53:672,left,10:58:53:988,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
331,training(10).webm,True,right,2,vcgpdm_dyn(15)-lvm(35)_final(5).webm,0,12,12,119,,,,,,,,10:58:54:802,10:58:55:491,10:58:58:493,right,10:58:58:810,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
332,vgpdm_dyn(15)-lvm(5)_final(9).webm,True,left,2,training(29).webm,0,13,13,42,,,,,,,,10:58:59:486,10:59:00:311,10:59:03:314,left,10:59:03:580,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
333,vgpdm_dyn(30)-lvm(15)_final(0).webm,False,left,2,training(4).webm,0,14,14,17,,,,,,,,10:59:04:420,10:59:05:082,10:59:08:084,left,10:59:08:368,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
