trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
260,vgpdm_dyn(5)-lvm(20)_final(4).mov,True,left,1,training(24).mov,0,100,100,3,,,,,,,,08:29:14:936,08:29:15:660,08:29:18:663,left,08:29:19:163,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
261,training(5).mov,False,right,1,vcgpdm_dyn(10)-lvm(25)_final(0).mov,0,101,101,105,,,,,,,,08:29:19:944,08:29:20:681,08:29:23:666,right,08:29:24:067,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
262,vcgpdm_dyn(10)-lvm(25)_final(2).mov,False,left,1,training(3).mov,0,102,102,70,,,,,,,,08:29:24:858,08:29:25:568,08:29:28:570,left,08:29:29:021,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
263,training(6).mov,False,right,1,vgpdm_dyn(35)-lvm(25)_final(4).mov,0,103,103,33,,,,,,,,08:29:29:807,08:29:30:523,08:29:33:524,right,08:29:34:008,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
264,training(12).mov,True,right,1,vgpdm_dyn(30)-lvm(10)_final(6).mov,0,104,104,49,,,,,,,,08:29:35:772,08:29:35:772,08:29:38:511,right,08:29:38:962,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
265,vgpdm_dyn(5)-lvm(30)_final(7).mov,True,left,1,training(25).mov,0,105,105,84,,,,,,,,08:29:39:752,08:29:40:463,08:29:43:465,left,08:29:43:882,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
266,training(26).mov,True,right,1,vgpdm_dyn(25)-lvm(35)_final(0).mov,0,106,106,31,,,,,,,,08:29:44:659,08:29:45:385,08:29:48:388,left,08:29:48:889,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
267,training(26).mov,True,right,1,vgpdm_dyn(20)-lvm(15)_final(0).mov,0,107,107,35,,,,,,,,08:29:49:679,08:29:50:390,08:29:53:393,right,08:29:53:943,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
268,vgpdm_dyn(15)-lvm(30)_final(8).mov,True,left,1,training(16).mov,0,108,108,40,,,,,,,,08:29:54:738,08:29:55:444,08:29:58:464,left,08:29:58:864,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
269,vgpdm_dyn(20)-lvm(30)_final(5).mov,True,left,1,training(4).mov,0,109,109,117,,,,,,,,08:29:59:644,08:30:00:365,08:30:03:367,left,08:30:03:735,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
